,entry_discipline,entry_category,entry_rank,athlete_firstname,athlete_lastname,athlete_country,athlete_speed_personal_best_score,event_name,event_location,event_year,event_month,event_day,athlete_age_at_event,athlete_max_rank,athlete_country_total_gold,athlete_country_total_silver,athlete_country_total_bronze,athlete_country_population,athlete_fullname,athlete_country_gold_per_capita,athlete_country_silver_per_capita,athlete_country_bronze_per_capita,athlete_golds_per_discipline
2550,speed,women,1,Iuliia,KAPLINA,RUS,6.96,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,28,1,52,64,66,143533851,"KAPLINA, Iuliia",3.622838768535514,4.458878484351402,4.598218436987383,14
2551,speed,women,3,Victoire,ANDRIER,FRA,7.23,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,25,1,63,60,59,68516699,"ANDRIER, Victoire",9.19483876478054,8.75698929979099,8.611039478127806,1
2552,speed,women,4,Laura,STÖCKLER,AUT,8.07,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,21,2,25,35,33,9178482,"STÖCKLER, Laura",27.237619466922744,38.13266725369184,35.95365769633802,0
2553,speed,women,6,Alexandra,ELMER,AUT,8.33,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,25,2,25,35,33,9178482,"ELMER, Alexandra",27.237619466922744,38.13266725369184,35.95365769633802,0
2554,speed,women,7,Natalia,KALUCKA,POL,6.45,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,19,1,31,26,27,36554707,"KALUCKA, Natalia",8.480440015563522,7.1126271098274705,7.386189690974681,3
2555,speed,women,8,Ekaterina,BARASHCHUK,RUS,7.28,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,22,1,52,64,66,143533851,"BARASHCHUK, Ekaterina",3.622838768535514,4.458878484351402,4.598218436987383,2
2556,speed,women,9,Tetiana,KOLKOTINA,UKR,8.25,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,28,9,14,25,20,37860221,"KOLKOTINA, Tetiana",3.697812540502603,6.603236679468934,5.282589343575147,0
2557,speed,women,10,Anna,CALANCA,ITA,8.31,IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021,6,26,17,10,24,21,23,58986023,"CALANCA, Anna",4.068760492633992,3.5601654310547435,3.8992288054409094,0
2558,boulder,women,1,Lauren,MUKHEIBIR,ZAF,15.84,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,20,1,4,3,4,64007187,"MUKHEIBIR, Lauren",0.6249298223338575,0.4686973667503932,0.6249298223338575,1
2559,boulder,women,2,Caitlyn,BURWOOD,ZAF,22.73,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,17,2,4,3,4,64007187,"BURWOOD, Caitlyn",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2560,boulder,women,3,Aniya,HOLDER,ZAF,9.12,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,20,1,4,3,4,64007187,"HOLDER, Aniya",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2561,boulder,women,4,Danielle,VISSER,ZAF,25.11,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,18,4,4,3,4,64007187,"VISSER, Danielle",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2562,boulder,women,5,Catherine,HONEGGER,ZAF,14.7,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,28,5,4,3,4,64007187,"HONEGGER, Catherine",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2563,boulder,women,7,Elizabeth,KAMUGISHA,UGA,999.99,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,30,7,0,0,0,50015092,"KAMUGISHA, Elizabeth",0.0,0.0,0.0,0
2564,boulder,women,7,Maria,NAMUTEBI,UGA,999.99,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,22,7,0,0,0,50015092,"NAMUTEBI, Maria",0.0,0.0,0.0,0
2565,boulder,men,1,Mel,JANSE VAN RENSBURG,ZAF,999.99,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,20,1,4,3,4,64007187,"JANSE VAN RENSBURG, Mel",0.6249298223338575,0.4686973667503932,0.6249298223338575,1
2566,boulder,men,2,Christopher,COSSER,ZAF,6.48,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,21,2,4,3,4,64007187,"COSSER, Christopher",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2567,boulder,men,3,Matthew,GRUNEWALD,ZAF,9.59,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,18,3,4,3,4,64007187,"GRUNEWALD, Matthew",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2568,boulder,men,4,Olwethu,MKHWANAZI,ZAF,999.99,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,20,4,4,3,4,64007187,"MKHWANAZI, Olwethu",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
2569,boulder,men,7,Ethan,PEARMAN,ZAF,999.99,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",Johannesburg,2021,12,15,18,7,4,3,4,64007187,"PEARMAN, Ethan",0.6249298223338575,0.4686973667503932,0.6249298223338575,0
